City_ID,City,Country,Lat,Lng,Max Temp,% Humidity,% Cloudiness,Wind Speed,Current Description
83,Upernavik,GL,72.79,-56.15,44.19,71,85,11.34,overcast clouds
84,Esperance,AU,-33.87,121.9,51.8,81,75,12.75,broken clouds
85,Tabuk,PH,17.42,121.44,73.89,86,99,2.59,overcast clouds
86,Logan,US,41.74,-111.83,91.0,23,1,3.36,haze
87,Ponta Do Sol,PT,32.67,-17.1,75.2,69,40,16.11,scattered clouds
88,Grand Gaube,MU,-20.01,57.66,69.01,76,2,3.0,light rain
89,Cidreira,BR,-30.18,-50.21,54.07,70,0,5.79,clear sky
90,Novikovo,RU,51.15,37.89,58.78,66,1,2.91,clear sky
91,Atagay,RU,55.1,99.39,53.96,95,100,5.55,moderate rain
92,Darhan,MN,49.49,105.92,57.07,84,85,1.05,overcast clouds
93,Winnemucca,US,40.97,-117.74,95.0,8,1,12.75,haze
94,Broome,US,42.25,-75.83,84.99,44,20,3.36,few clouds
95,North Bend,US,43.41,-124.22,80.01,72,1,19.46,clear sky
96,Kafue,ZM,-15.77,28.18,57.2,76,0,9.17,clear sky
97,Mayo,US,38.89,-76.51,84.99,74,1,8.05,clear sky
98,Georgetown,MY,5.41,100.34,80.6,94,40,2.24,scattered clouds
99,Meadow Lake,US,34.8,-106.54,99.0,12,20,4.29,few clouds
100,Okhotsk,RU,59.38,143.3,53.62,55,89,9.33,overcast clouds
101,Walvis Bay,NA,-22.96,14.51,71.19,21,0,10.76,clear sky
102,Tilichiki,RU,60.47,166.1,49.41,84,93,2.39,overcast clouds
103,Ilihan,PH,13.63,121.08,78.01,89,100,3.06,overcast clouds
104,Clyde River,CA,70.47,-68.59,50.76,69,97,7.63,overcast clouds
105,Tuatapere,NZ,-46.13,167.68,45.0,98,100,4.0,overcast clouds
106,Strakonice,CZ,49.26,13.9,63.0,93,94,5.79,overcast clouds
107,Vao,NC,-22.67,167.48,71.44,83,48,14.25,light rain
